starttime	seconds	ctime	dtime	ttime	wait
Sat Feb 03 23:26:53 2024	1706982113	0	51	51	48
Sat Feb 03 23:26:52 2024	1706982112	0	51	51	50
Sat Feb 03 23:26:51 2024	1706982111	0	51	51	50
Sat Feb 03 23:26:54 2024	1706982114	0	51	51	49
Sat Feb 03 23:26:52 2024	1706982112	0	51	51	48
Sat Feb 03 23:26:54 2024	1706982114	0	51	51	49
Sat Feb 03 23:26:53 2024	1706982113	0	51	51	50
Sat Feb 03 23:26:52 2024	1706982112	0	51	51	50
Sat Feb 03 23:26:53 2024	1706982113	0	51	51	49
Sat Feb 03 23:26:52 2024	1706982112	0	51	51	46
Sat Feb 03 23:26:55 2024	1706982115	0	51	51	49
Sat Feb 03 23:26:51 2024	1706982111	0	51	51	50
Sat Feb 03 23:26:54 2024	1706982114	0	51	51	42
Sat Feb 03 23:26:54 2024	1706982114	0	51	51	49
Sat Feb 03 23:26:54 2024	1706982114	0	51	51	50
Sat Feb 03 23:26:52 2024	1706982112	0	51	51	49
Sat Feb 03 23:26:54 2024	1706982114	0	51	51	50
Sat Feb 03 23:26:53 2024	1706982113	0	51	51	51
Sat Feb 03 23:26:54 2024	1706982114	0	51	51	49
Sat Feb 03 23:26:54 2024	1706982114	0	51	51	50
Sat Feb 03 23:26:52 2024	1706982112	0	51	51	47
Sat Feb 03 23:26:55 2024	1706982115	0	51	52	50
Sat Feb 03 23:26:52 2024	1706982112	0	51	52	51
Sat Feb 03 23:26:54 2024	1706982114	0	51	52	50
Sat Feb 03 23:26:55 2024	1706982115	0	52	52	49
Sat Feb 03 23:26:54 2024	1706982114	0	51	52	49
Sat Feb 03 23:26:53 2024	1706982113	0	52	52	50
Sat Feb 03 23:26:53 2024	1706982113	0	52	52	50
Sat Feb 03 23:26:51 2024	1706982111	0	52	52	51
Sat Feb 03 23:26:50 2024	1706982110	0	52	52	51
Sat Feb 03 23:26:51 2024	1706982111	0	52	52	51
Sat Feb 03 23:26:55 2024	1706982115	0	52	52	51
Sat Feb 03 23:26:51 2024	1706982111	0	52	52	51
Sat Feb 03 23:26:53 2024	1706982113	0	52	52	52
Sat Feb 03 23:26:52 2024	1706982112	0	52	52	51
Sat Feb 03 23:26:55 2024	1706982115	0	52	52	50
Sat Feb 03 23:26:54 2024	1706982114	0	52	52	51
Sat Feb 03 23:26:51 2024	1706982111	0	52	52	52
Sat Feb 03 23:26:51 2024	1706982111	0	52	53	52
Sat Feb 03 23:26:52 2024	1706982112	0	52	53	50
Sat Feb 03 23:26:55 2024	1706982115	0	53	53	50
Sat Feb 03 23:26:54 2024	1706982114	0	53	53	52
Sat Feb 03 23:26:52 2024	1706982112	0	53	53	52
Sat Feb 03 23:26:53 2024	1706982113	0	53	53	52
Sat Feb 03 23:26:51 2024	1706982111	0	53	53	51
Sat Feb 03 23:26:53 2024	1706982113	0	53	53	51
Sat Feb 03 23:26:54 2024	1706982114	0	53	53	51
Sat Feb 03 23:26:51 2024	1706982111	0	53	53	52
Sat Feb 03 23:26:52 2024	1706982112	0	53	53	53
Sat Feb 03 23:26:52 2024	1706982112	0	53	53	52
Sat Feb 03 23:26:52 2024	1706982112	0	53	53	51
Sat Feb 03 23:26:52 2024	1706982112	0	53	53	51
Sat Feb 03 23:26:54 2024	1706982114	0	53	53	51
Sat Feb 03 23:26:53 2024	1706982113	0	53	53	52
